Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
CHa_47_T0_B_TWS042_10_LPART25_2	(9.0, 12.0)	(10.0, 459.0)	(11.0, 2804.0)	(12.0, 9174.0)	(13.0, 22435.0)	(14.0, 51237.0)	(15.0, 76660.0)	(16.0, 79295.0)	(17.0, 70581.0)	(18.0, 67965.0)	(19.0, 70995.0)	(20.0, 78230.0)	(21.0, 85633.0)	(22.0, 94548.0)	(23.0, 104879.0)	(24.0, 113945.0)	(25.0, 126019.0)	(26.0, 135683.0)	(27.0, 149079.0)	(28.0, 166373.0)	(29.0, 183356.0)	(30.0, 213436.0)	(31.0, 243330.0)	(32.0, 295761.0)	(33.0, 364008.0)	(34.0, 488242.0)	(35.0, 711972.0)	(36.0, 1156913.0)	(37.0, 2277321.0)	(38.0, 5835066.0)	(39.0, 54062923.0)	(40.0, 36178058.0)					
CHa_47_T0_B_TWS042_10_LPART26_1	(12.0, 1.0)	(13.0, 11.0)	(14.0, 86.0)	(15.0, 288.0)	(16.0, 645.0)	(17.0, 1319.0)	(18.0, 2431.0)	(19.0, 4031.0)	(20.0, 5985.0)	(21.0, 7768.0)	(22.0, 9813.0)	(23.0, 12434.0)	(24.0, 14822.0)	(25.0, 18366.0)	(26.0, 22589.0)	(27.0, 26427.0)	(28.0, 32819.0)	(29.0, 38315.0)	(30.0, 48065.0)	(31.0, 58833.0)	(32.0, 77649.0)	(33.0, 109340.0)	(34.0, 155809.0)	(35.0, 240510.0)	(36.0, 377584.0)	(37.0, 788108.0)	(38.0, 2019478.0)	(39.0, 13095764.0)	(40.0, 3114269.0)								
CHa_47_T0_B_TWS042_10_LPART26_2	(10.0, 30.0)	(11.0, 270.0)	(12.0, 1327.0)	(13.0, 4802.0)	(14.0, 11098.0)	(15.0, 14696.0)	(16.0, 14982.0)	(17.0, 14475.0)	(18.0, 14310.0)	(19.0, 15448.0)	(20.0, 17060.0)	(21.0, 19187.0)	(22.0, 21634.0)	(23.0, 24203.0)	(24.0, 27115.0)	(25.0, 30758.0)	(26.0, 34707.0)	(27.0, 39038.0)	(28.0, 45369.0)	(29.0, 52555.0)	(30.0, 63190.0)	(31.0, 74883.0)	(32.0, 97239.0)	(33.0, 123347.0)	(34.0, 172401.0)	(35.0, 255404.0)	(36.0, 414413.0)	(37.0, 845282.0)	(38.0, 2143259.0)	(39.0, 12647355.0)	(40.0, 3043722.0)						
CHa_47_T0_B_TWS042_10_LPART27_1	(12.0, 42.0)	(13.0, 1282.0)	(14.0, 8955.0)	(15.0, 22018.0)	(16.0, 26329.0)	(17.0, 29153.0)	(18.0, 41329.0)	(19.0, 60842.0)	(20.0, 85581.0)	(21.0, 108359.0)	(22.0, 136948.0)	(23.0, 169335.0)	(24.0, 199950.0)	(25.0, 246405.0)	(26.0, 292974.0)	(27.0, 347762.0)	(28.0, 424006.0)	(29.0, 490047.0)	(30.0, 613530.0)	(31.0, 736311.0)	(32.0, 989856.0)	(33.0, 1404768.0)	(34.0, 2035593.0)	(35.0, 3049427.0)	(36.0, 4891163.0)	(37.0, 10117198.0)	(38.0, 26869843.0)	(39.0, 186525239.0)	(40.0, 47424486.0)								
CHa_47_T0_B_TWS042_10_LPART27_2	(9.0, 1.0)	(10.0, 271.0)	(11.0, 3591.0)	(12.0, 21368.0)	(13.0, 86494.0)	(14.0, 213267.0)	(15.0, 294421.0)	(16.0, 290403.0)	(17.0, 262388.0)	(18.0, 250658.0)	(19.0, 258747.0)	(20.0, 283750.0)	(21.0, 307943.0)	(22.0, 341655.0)	(23.0, 380503.0)	(24.0, 414837.0)	(25.0, 468778.0)	(26.0, 516293.0)	(27.0, 579596.0)	(28.0, 662250.0)	(29.0, 741713.0)	(30.0, 897431.0)	(31.0, 1033141.0)	(32.0, 1323194.0)	(33.0, 1649216.0)	(34.0, 2279339.0)	(35.0, 3386806.0)	(36.0, 5579747.0)	(37.0, 11577342.0)	(38.0, 30194650.0)	(39.0, 178458798.0)	(40.0, 44590140.0)					
CHa_47_T0_B_TWS042_10_LPART28_1	(12.0, 34.0)	(13.0, 1088.0)	(14.0, 7303.0)	(15.0, 18004.0)	(16.0, 19547.0)	(17.0, 20839.0)	(18.0, 33096.0)	(19.0, 54201.0)	(20.0, 80480.0)	(21.0, 106682.0)	(22.0, 132198.0)	(23.0, 164093.0)	(24.0, 195446.0)	(25.0, 239053.0)	(26.0, 289816.0)	(27.0, 341473.0)	(28.0, 418943.0)	(29.0, 488040.0)	(30.0, 607838.0)	(31.0, 735539.0)	(32.0, 982318.0)	(33.0, 1421069.0)	(34.0, 2074891.0)	(35.0, 3118838.0)	(36.0, 4964320.0)	(37.0, 10368097.0)	(38.0, 28423155.0)	(39.0, 241568504.0)	(40.0, 75277353.0)								
CHa_47_T0_B_TWS042_10_LPART28_2	(9.0, 3.0)	(10.0, 341.0)	(11.0, 3644.0)	(12.0, 19300.0)	(13.0, 78736.0)	(14.0, 197123.0)	(15.0, 255508.0)	(16.0, 237946.0)	(17.0, 211518.0)	(18.0, 203476.0)	(19.0, 216143.0)	(20.0, 242946.0)	(21.0, 272280.0)	(22.0, 307602.0)	(23.0, 348350.0)	(24.0, 386180.0)	(25.0, 436630.0)	(26.0, 486753.0)	(27.0, 553621.0)	(28.0, 636122.0)	(29.0, 725217.0)	(30.0, 876711.0)	(31.0, 1027646.0)	(32.0, 1324415.0)	(33.0, 1674689.0)	(34.0, 2338232.0)	(35.0, 3491007.0)	(36.0, 5828906.0)	(37.0, 12205472.0)	(38.0, 33131763.0)	(39.0, 230718688.0)	(40.0, 73715290.0)					
CHa_47_T0_B_TWS042_10_LPART29_1	(12.0, 24.0)	(13.0, 529.0)	(14.0, 3827.0)	(15.0, 9124.0)	(16.0, 10747.0)	(17.0, 13549.0)	(18.0, 21659.0)	(19.0, 34823.0)	(20.0, 51514.0)	(21.0, 67857.0)	(22.0, 85287.0)	(23.0, 106872.0)	(24.0, 126601.0)	(25.0, 154861.0)	(26.0, 186890.0)	(27.0, 216310.0)	(28.0, 263296.0)	(29.0, 303118.0)	(30.0, 373023.0)	(31.0, 448047.0)	(32.0, 586311.0)	(33.0, 845673.0)	(34.0, 1237502.0)	(35.0, 1832930.0)	(36.0, 2840210.0)	(37.0, 5793231.0)	(38.0, 15642070.0)	(39.0, 152703691.0)	(40.0, 57087088.0)								
CHa_47_T0_B_TWS042_10_LPART29_2	(9.0, 1.0)	(10.0, 132.0)	(11.0, 1949.0)	(12.0, 11749.0)	(13.0, 51422.0)	(14.0, 124850.0)	(15.0, 154207.0)	(16.0, 141218.0)	(17.0, 125150.0)	(18.0, 120287.0)	(19.0, 126221.0)	(20.0, 142537.0)	(21.0, 159926.0)	(22.0, 179303.0)	(23.0, 205368.0)	(24.0, 226427.0)	(25.0, 255152.0)	(26.0, 284975.0)	(27.0, 320303.0)	(28.0, 370725.0)	(29.0, 420247.0)	(30.0, 507000.0)	(31.0, 591971.0)	(32.0, 756707.0)	(33.0, 953465.0)	(34.0, 1315500.0)	(35.0, 1963377.0)	(36.0, 3272741.0)	(37.0, 6906466.0)	(38.0, 19080721.0)	(39.0, 149155179.0)	(40.0, 53121388.0)					
CHa_47_T0_B_TWS042_10_LPART2_1	(12.0, 18.0)	(13.0, 374.0)	(14.0, 4042.0)	(15.0, 14997.0)	(16.0, 19755.0)	(17.0, 16389.0)	(18.0, 20956.0)	(19.0, 34204.0)	(20.0, 52231.0)	(21.0, 71380.0)	(22.0, 91323.0)	(23.0, 114883.0)	(24.0, 137509.0)	(25.0, 169118.0)	(26.0, 202849.0)	(27.0, 236828.0)	(28.0, 286866.0)	(29.0, 332228.0)	(30.0, 400763.0)	(31.0, 480647.0)	(32.0, 619947.0)	(33.0, 898891.0)	(34.0, 1310161.0)	(35.0, 1909422.0)	(36.0, 2867234.0)	(37.0, 5681732.0)	(38.0, 13813868.0)	(39.0, 159052683.0)	(40.0, 95965481.0)								
CHa_47_T0_B_TWS042_10_LPART2_2	(9.0, 28.0)	(10.0, 1227.0)	(11.0, 9715.0)	(12.0, 32782.0)	(13.0, 81265.0)	(14.0, 165660.0)	(15.0, 227556.0)	(16.0, 231475.0)	(17.0, 213700.0)	(18.0, 213065.0)	(19.0, 226521.0)	(20.0, 251085.0)	(21.0, 276609.0)	(22.0, 306921.0)	(23.0, 338407.0)	(24.0, 367648.0)	(25.0, 405575.0)	(26.0, 438211.0)	(27.0, 482144.0)	(28.0, 535593.0)	(29.0, 592967.0)	(30.0, 683221.0)	(31.0, 779019.0)	(32.0, 940845.0)	(33.0, 1149742.0)	(34.0, 1520141.0)	(35.0, 2194907.0)	(36.0, 3481211.0)	(37.0, 6897640.0)	(38.0, 17130808.0)	(39.0, 153653929.0)	(40.0, 90977162.0)					
CHa_47_T0_B_TWS042_10_LPART30_1	(12.0, 8.0)	(13.0, 211.0)	(14.0, 1621.0)	(15.0, 4511.0)	(16.0, 5307.0)	(17.0, 5017.0)	(18.0, 6108.0)	(19.0, 8816.0)	(20.0, 11980.0)	(21.0, 14879.0)	(22.0, 19168.0)	(23.0, 23595.0)	(24.0, 27862.0)	(25.0, 33404.0)	(26.0, 40007.0)	(27.0, 46111.0)	(28.0, 54748.0)	(29.0, 62135.0)	(30.0, 74473.0)	(31.0, 87750.0)	(32.0, 110710.0)	(33.0, 154057.0)	(34.0, 220862.0)	(35.0, 319153.0)	(36.0, 460925.0)	(37.0, 872092.0)	(38.0, 1969068.0)	(39.0, 21082133.0)	(40.0, 13973402.0)								
CHa_47_T0_B_TWS042_10_LPART30_2	(8.0, 1.0)	(9.0, 1.0)	(10.0, 100.0)	(11.0, 620.0)	(12.0, 2284.0)	(13.0, 7076.0)	(14.0, 19042.0)	(15.0, 28605.0)	(16.0, 27306.0)	(17.0, 23372.0)	(18.0, 21534.0)	(19.0, 23100.0)	(20.0, 25510.0)	(21.0, 28395.0)	(22.0, 32141.0)	(23.0, 35977.0)	(24.0, 39726.0)	(25.0, 44092.0)	(26.0, 48225.0)	(27.0, 53657.0)	(28.0, 59795.0)	(29.0, 67394.0)	(30.0, 79759.0)	(31.0, 92759.0)	(32.0, 114813.0)	(33.0, 144799.0)	(34.0, 198539.0)	(35.0, 290431.0)	(36.0, 467886.0)	(37.0, 900378.0)	(38.0, 2229388.0)	(39.0, 20412005.0)	(40.0, 14171403.0)				
CHa_47_T0_B_TWS042_10_LPART31_1	(12.0, 1.0)	(13.0, 53.0)	(14.0, 513.0)	(15.0, 1648.0)	(16.0, 2442.0)	(17.0, 3446.0)	(18.0, 5760.0)	(19.0, 10047.0)	(20.0, 14850.0)	(21.0, 19980.0)	(22.0, 25885.0)	(23.0, 32559.0)	(24.0, 39080.0)	(25.0, 47981.0)	(26.0, 58671.0)	(27.0, 68574.0)	(28.0, 82856.0)	(29.0, 95429.0)	(30.0, 115907.0)	(31.0, 139306.0)	(32.0, 178149.0)	(33.0, 251651.0)	(34.0, 382505.0)	(35.0, 545177.0)	(36.0, 795003.0)	(37.0, 1532515.0)	(38.0, 3562503.0)	(39.0, 40910127.0)	(40.0, 27124910.0)								
CHa_47_T0_B_TWS042_10_LPART31_2	(9.0, 1.0)	(10.0, 134.0)	(11.0, 1190.0)	(12.0, 4095.0)	(13.0, 11067.0)	(14.0, 27352.0)	(15.0, 39523.0)	(16.0, 37719.0)	(17.0, 34336.0)	(18.0, 33343.0)	(19.0, 35194.0)	(20.0, 39528.0)	(21.0, 44790.0)	(22.0, 50907.0)	(23.0, 57624.0)	(24.0, 63913.0)	(25.0, 71055.0)	(26.0, 78089.0)	(27.0, 86855.0)	(28.0, 98671.0)	(29.0, 112302.0)	(30.0, 133251.0)	(31.0, 158145.0)	(32.0, 198848.0)	(33.0, 251230.0)	(34.0, 351947.0)	(35.0, 512189.0)	(36.0, 842108.0)	(37.0, 1643015.0)	(38.0, 4129449.0)	(39.0, 39255811.0)	(40.0, 27643847.0)					
CHa_47_T0_B_TWS042_10_LPART32_1	(12.0, 68.0)	(13.0, 2609.0)	(14.0, 29630.0)	(15.0, 107734.0)	(16.0, 138700.0)	(17.0, 92731.0)	(18.0, 83541.0)	(19.0, 117433.0)	(20.0, 167295.0)	(21.0, 219521.0)	(22.0, 279307.0)	(23.0, 349623.0)	(24.0, 418233.0)	(25.0, 511164.0)	(26.0, 609196.0)	(27.0, 710099.0)	(28.0, 854092.0)	(29.0, 978993.0)	(30.0, 1187356.0)	(31.0, 1404408.0)	(32.0, 1774462.0)	(33.0, 2481524.0)	(34.0, 3687242.0)	(35.0, 5439033.0)	(36.0, 7932020.0)	(37.0, 14879624.0)	(38.0, 33162924.0)	(39.0, 355240342.0)	(40.0, 253147349.0)								
CHa_47_T0_B_TWS042_10_LPART32_2	(9.0, 15.0)	(10.0, 743.0)	(11.0, 6576.0)	(12.0, 25731.0)	(13.0, 92130.0)	(14.0, 275310.0)	(15.0, 432514.0)	(16.0, 415652.0)	(17.0, 325437.0)	(18.0, 296314.0)	(19.0, 319380.0)	(20.0, 367985.0)	(21.0, 423978.0)	(22.0, 488582.0)	(23.0, 555026.0)	(24.0, 614700.0)	(25.0, 687086.0)	(26.0, 755517.0)	(27.0, 843142.0)	(28.0, 951788.0)	(29.0, 1076685.0)	(30.0, 1272298.0)	(31.0, 1494251.0)	(32.0, 1886726.0)	(33.0, 2403434.0)	(34.0, 3353481.0)	(35.0, 5013307.0)	(36.0, 8285016.0)	(37.0, 15984379.0)	(38.0, 38940643.0)	(39.0, 348614018.0)	(40.0, 249804409.0)					
CHa_47_T0_B_TWS042_10_LPART33_1	(11.0, 1.0)	(12.0, 83.0)	(13.0, 1985.0)	(14.0, 19436.0)	(15.0, 60321.0)	(16.0, 74576.0)	(17.0, 78121.0)	(18.0, 110378.0)	(19.0, 165575.0)	(20.0, 231658.0)	(21.0, 294069.0)	(22.0, 364507.0)	(23.0, 446349.0)	(24.0, 520380.0)	(25.0, 630552.0)	(26.0, 747347.0)	(27.0, 871160.0)	(28.0, 1047442.0)	(29.0, 1197160.0)	(30.0, 1458808.0)	(31.0, 1725819.0)	(32.0, 2205657.0)	(33.0, 3025730.0)	(34.0, 4285508.0)	(35.0, 6319724.0)	(36.0, 9668258.0)	(37.0, 19622840.0)	(38.0, 49799232.0)	(39.0, 401171942.0)	(40.0, 132926282.0)							
CHa_47_T0_B_TWS042_10_LPART33_2	(9.0, 29.0)	(10.0, 1124.0)	(11.0, 9747.0)	(12.0, 38321.0)	(13.0, 129679.0)	(14.0, 324686.0)	(15.0, 449942.0)	(16.0, 440399.0)	(17.0, 393995.0)	(18.0, 383901.0)	(19.0, 417789.0)	(20.0, 478940.0)	(21.0, 544344.0)	(22.0, 617226.0)	(23.0, 695043.0)	(24.0, 764353.0)	(25.0, 855142.0)	(26.0, 944638.0)	(27.0, 1048438.0)	(28.0, 1187634.0)	(29.0, 1338612.0)	(30.0, 1585160.0)	(31.0, 1858283.0)	(32.0, 2348569.0)	(33.0, 2967408.0)	(34.0, 4101779.0)	(35.0, 5976317.0)	(36.0, 9691437.0)	(37.0, 19311515.0)	(38.0, 48981749.0)	(39.0, 385194673.0)	(40.0, 145990028.0)					
CHa_47_T0_B_TWS042_10_LPART34_1	(12.0, 36.0)	(13.0, 890.0)	(14.0, 9344.0)	(15.0, 33566.0)	(16.0, 46578.0)	(17.0, 38935.0)	(18.0, 41962.0)	(19.0, 60349.0)	(20.0, 87147.0)	(21.0, 114330.0)	(22.0, 145035.0)	(23.0, 179329.0)	(24.0, 211063.0)	(25.0, 254304.0)	(26.0, 296703.0)	(27.0, 340715.0)	(28.0, 404478.0)	(29.0, 462459.0)	(30.0, 550938.0)	(31.0, 653366.0)	(32.0, 823293.0)	(33.0, 1187633.0)	(34.0, 1756533.0)	(35.0, 2557571.0)	(36.0, 3715187.0)	(37.0, 6975863.0)	(38.0, 15750812.0)	(39.0, 164351127.0)	(40.0, 141940594.0)								
CHa_47_T0_B_TWS042_10_LPART34_2	(9.0, 9.0)	(10.0, 602.0)	(11.0, 5420.0)	(12.0, 21167.0)	(13.0, 67871.0)	(14.0, 170722.0)	(15.0, 250431.0)	(16.0, 245933.0)	(17.0, 212844.0)	(18.0, 205543.0)	(19.0, 221378.0)	(20.0, 250654.0)	(21.0, 282482.0)	(22.0, 317299.0)	(23.0, 355032.0)	(24.0, 387969.0)	(25.0, 430176.0)	(26.0, 468625.0)	(27.0, 514390.0)	(28.0, 577063.0)	(29.0, 643955.0)	(30.0, 750383.0)	(31.0, 866627.0)	(32.0, 1066811.0)	(33.0, 1334633.0)	(34.0, 1802265.0)	(35.0, 2647508.0)	(36.0, 4287719.0)	(37.0, 8297697.0)	(38.0, 20509716.0)	(39.0, 172815561.0)	(40.0, 122981655.0)					
CHa_47_T0_B_TWS042_10_LPART35_1	(11.0, 1.0)	(12.0, 34.0)	(13.0, 712.0)	(14.0, 8491.0)	(15.0, 32155.0)	(16.0, 46474.0)	(17.0, 38973.0)	(18.0, 41780.0)	(19.0, 60622.0)	(20.0, 88225.0)	(21.0, 116325.0)	(22.0, 148048.0)	(23.0, 183670.0)	(24.0, 215881.0)	(25.0, 258658.0)	(26.0, 303100.0)	(27.0, 348912.0)	(28.0, 412214.0)	(29.0, 469714.0)	(30.0, 561386.0)	(31.0, 663752.0)	(32.0, 835588.0)	(33.0, 1189790.0)	(34.0, 1764854.0)	(35.0, 2578989.0)	(36.0, 3719670.0)	(37.0, 7012998.0)	(38.0, 15923050.0)	(39.0, 168773333.0)	(40.0, 140907237.0)							
CHa_47_T0_B_TWS042_10_LPART35_2	(9.0, 33.0)	(10.0, 962.0)	(11.0, 7369.0)	(12.0, 26754.0)	(13.0, 76459.0)	(14.0, 181306.0)	(15.0, 268315.0)	(16.0, 273114.0)	(17.0, 243314.0)	(18.0, 236671.0)	(19.0, 255421.0)	(20.0, 287100.0)	(21.0, 320531.0)	(22.0, 361314.0)	(23.0, 400660.0)	(24.0, 438438.0)	(25.0, 482736.0)	(26.0, 525394.0)	(27.0, 574892.0)	(28.0, 639436.0)	(29.0, 711279.0)	(30.0, 822913.0)	(31.0, 951632.0)	(32.0, 1160986.0)	(33.0, 1445332.0)	(34.0, 1945287.0)	(35.0, 2835900.0)	(36.0, 4564810.0)	(37.0, 8758339.0)	(38.0, 21398147.0)	(39.0, 175930672.0)	(40.0, 120579120.0)					
CHa_47_T0_B_TWS042_10_LPART36_1	(12.0, 35.0)	(13.0, 1019.0)	(14.0, 9090.0)	(15.0, 29189.0)	(16.0, 42089.0)	(17.0, 41568.0)	(18.0, 50110.0)	(19.0, 72697.0)	(20.0, 101227.0)	(21.0, 130183.0)	(22.0, 159180.0)	(23.0, 194697.0)	(24.0, 229060.0)	(25.0, 277207.0)	(26.0, 329198.0)	(27.0, 381002.0)	(28.0, 455394.0)	(29.0, 518371.0)	(30.0, 620292.0)	(31.0, 736484.0)	(32.0, 929236.0)	(33.0, 1313960.0)	(34.0, 1915771.0)	(35.0, 2796394.0)	(36.0, 4091426.0)	(37.0, 7768714.0)	(38.0, 17559510.0)	(39.0, 169937839.0)	(40.0, 128914716.0)								
CHa_47_T0_B_TWS042_10_LPART36_2	(9.0, 17.0)	(10.0, 659.0)	(11.0, 5610.0)	(12.0, 22300.0)	(13.0, 72087.0)	(14.0, 179020.0)	(15.0, 255825.0)	(16.0, 249930.0)	(17.0, 221424.0)	(18.0, 216723.0)	(19.0, 233783.0)	(20.0, 264604.0)	(21.0, 294777.0)	(22.0, 331969.0)	(23.0, 369397.0)	(24.0, 404801.0)	(25.0, 450898.0)	(26.0, 494657.0)	(27.0, 546210.0)	(28.0, 617231.0)	(29.0, 691103.0)	(30.0, 813018.0)	(31.0, 947446.0)	(32.0, 1186060.0)	(33.0, 1489378.0)	(34.0, 2051573.0)	(35.0, 3007492.0)	(36.0, 4856954.0)	(37.0, 9345076.0)	(38.0, 22740115.0)	(39.0, 174810964.0)	(40.0, 112434557.0)					
CHa_47_T0_B_TWS042_10_LPART37_1	(12.0, 11.0)	(13.0, 264.0)	(14.0, 2999.0)	(15.0, 11411.0)	(16.0, 17810.0)	(17.0, 16798.0)	(18.0, 22099.0)	(19.0, 35096.0)	(20.0, 53827.0)	(21.0, 72838.0)	(22.0, 93193.0)	(23.0, 117635.0)	(24.0, 140562.0)	(25.0, 171460.0)	(26.0, 205133.0)	(27.0, 240683.0)	(28.0, 291840.0)	(29.0, 335840.0)	(30.0, 414510.0)	(31.0, 498431.0)	(32.0, 645721.0)	(33.0, 943643.0)	(34.0, 1415448.0)	(35.0, 2050642.0)	(36.0, 3113734.0)	(37.0, 5999235.0)	(38.0, 14483487.0)	(39.0, 156947239.0)	(40.0, 70318042.0)								
CHa_47_T0_B_TWS042_10_LPART37_2	(9.0, 5.0)	(10.0, 214.0)	(11.0, 2433.0)	(12.0, 11713.0)	(13.0, 46558.0)	(14.0, 121441.0)	(15.0, 159263.0)	(16.0, 147762.0)	(17.0, 131221.0)	(18.0, 128593.0)	(19.0, 137563.0)	(20.0, 158310.0)	(21.0, 176994.0)	(22.0, 199925.0)	(23.0, 226471.0)	(24.0, 249352.0)	(25.0, 280621.0)	(26.0, 310513.0)	(27.0, 345600.0)	(28.0, 393468.0)	(29.0, 438930.0)	(30.0, 519745.0)	(31.0, 600531.0)	(32.0, 750335.0)	(33.0, 938690.0)	(34.0, 1281888.0)	(35.0, 1917006.0)	(36.0, 3187028.0)	(37.0, 6672363.0)	(38.0, 18372374.0)	(39.0, 163335171.0)	(40.0, 57417550.0)					
CHa_47_T0_B_TWS042_10_LPART38_1	(11.0, 1.0)	(12.0, 10.0)	(13.0, 270.0)	(14.0, 3097.0)	(15.0, 11684.0)	(16.0, 17836.0)	(17.0, 17123.0)	(18.0, 22115.0)	(19.0, 35426.0)	(20.0, 54115.0)	(21.0, 72499.0)	(22.0, 93149.0)	(23.0, 116927.0)	(24.0, 140271.0)	(25.0, 170253.0)	(26.0, 204525.0)	(27.0, 240078.0)	(28.0, 290511.0)	(29.0, 336251.0)	(30.0, 413470.0)	(31.0, 494911.0)	(32.0, 642660.0)	(33.0, 933101.0)	(34.0, 1404165.0)	(35.0, 2049466.0)	(36.0, 3095310.0)	(37.0, 5992011.0)	(38.0, 14394061.0)	(39.0, 155564506.0)	(40.0, 72590819.0)							
CHa_47_T0_B_TWS042_10_LPART38_2	(9.0, 10.0)	(10.0, 219.0)	(11.0, 2245.0)	(12.0, 11203.0)	(13.0, 45227.0)	(14.0, 118583.0)	(15.0, 155608.0)	(16.0, 142432.0)	(17.0, 126239.0)	(18.0, 124172.0)	(19.0, 133693.0)	(20.0, 153212.0)	(21.0, 173090.0)	(22.0, 195465.0)	(23.0, 222222.0)	(24.0, 243952.0)	(25.0, 274300.0)	(26.0, 305514.0)	(27.0, 341260.0)	(28.0, 387155.0)	(29.0, 433797.0)	(30.0, 514779.0)	(31.0, 593467.0)	(32.0, 747855.0)	(33.0, 933731.0)	(34.0, 1279835.0)	(35.0, 1925638.0)	(36.0, 3206708.0)	(37.0, 6766963.0)	(38.0, 18646910.0)	(39.0, 164058091.0)	(40.0, 57137046.0)					
CHa_47_T0_B_TWS042_10_LPART39_1	(11.0, 1.0)	(12.0, 26.0)	(13.0, 695.0)	(14.0, 8172.0)	(15.0, 34620.0)	(16.0, 49214.0)	(17.0, 36340.0)	(18.0, 37893.0)	(19.0, 58155.0)	(20.0, 88925.0)	(21.0, 120213.0)	(22.0, 154019.0)	(23.0, 193566.0)	(24.0, 231107.0)	(25.0, 278883.0)	(26.0, 333234.0)	(27.0, 385125.0)	(28.0, 460751.0)	(29.0, 528559.0)	(30.0, 629461.0)	(31.0, 751239.0)	(32.0, 936343.0)	(33.0, 1333036.0)	(34.0, 1933300.0)	(35.0, 2832393.0)	(36.0, 4042817.0)	(37.0, 7633106.0)	(38.0, 17420679.0)	(39.0, 217721273.0)	(40.0, 190518911.0)							
CHa_47_T0_B_TWS042_10_LPART39_2	(9.0, 38.0)	(10.0, 1798.0)	(11.0, 11699.0)	(12.0, 36542.0)	(13.0, 88999.0)	(14.0, 202853.0)	(15.0, 293408.0)	(16.0, 294103.0)	(17.0, 259835.0)	(18.0, 253862.0)	(19.0, 274392.0)	(20.0, 307023.0)	(21.0, 343437.0)	(22.0, 383848.0)	(23.0, 426327.0)	(24.0, 463156.0)	(25.0, 512374.0)	(26.0, 558633.0)	(27.0, 609343.0)	(28.0, 681292.0)	(29.0, 756264.0)	(30.0, 874049.0)	(31.0, 1010001.0)	(32.0, 1234471.0)	(33.0, 1546851.0)	(34.0, 2080453.0)	(35.0, 3041961.0)	(36.0, 4899906.0)	(37.0, 9423341.0)	(38.0, 23246807.0)	(39.0, 221343201.0)	(40.0, 173291789.0)					
CHa_47_T0_B_TWS042_10_LPART3_1	(12.0, 20.0)	(13.0, 750.0)	(14.0, 7671.0)	(15.0, 25383.0)	(16.0, 32787.0)	(17.0, 28503.0)	(18.0, 34992.0)	(19.0, 51631.0)	(20.0, 73404.0)	(21.0, 94857.0)	(22.0, 118592.0)	(23.0, 146540.0)	(24.0, 175219.0)	(25.0, 211728.0)	(26.0, 251893.0)	(27.0, 290602.0)	(28.0, 347623.0)	(29.0, 396697.0)	(30.0, 477223.0)	(31.0, 568399.0)	(32.0, 731477.0)	(33.0, 1047134.0)	(34.0, 1512914.0)	(35.0, 2207155.0)	(36.0, 3314348.0)	(37.0, 6498681.0)	(38.0, 15732335.0)	(39.0, 165253271.0)	(40.0, 93085697.0)								
CHa_47_T0_B_TWS042_10_LPART3_2	(9.0, 16.0)	(10.0, 972.0)	(11.0, 8772.0)	(12.0, 32796.0)	(13.0, 87892.0)	(14.0, 197081.0)	(15.0, 287361.0)	(16.0, 295272.0)	(17.0, 265504.0)	(18.0, 255852.0)	(19.0, 268933.0)	(20.0, 295148.0)	(21.0, 321524.0)	(22.0, 354065.0)	(23.0, 391534.0)	(24.0, 423927.0)	(25.0, 466912.0)	(26.0, 505118.0)	(27.0, 556050.0)	(28.0, 618739.0)	(29.0, 682847.0)	(30.0, 791269.0)	(31.0, 898896.0)	(32.0, 1096391.0)	(33.0, 1338486.0)	(34.0, 1769253.0)	(35.0, 2535292.0)	(36.0, 3992766.0)	(37.0, 7785882.0)	(38.0, 18907523.0)	(39.0, 157131245.0)	(40.0, 90154208.0)					
CHa_47_T0_B_TWS042_10_LPART40_1	(11.0, 6.0)	(12.0, 72.0)	(13.0, 1490.0)	(14.0, 15745.0)	(15.0, 61173.0)	(16.0, 91456.0)	(17.0, 77374.0)	(18.0, 85860.0)	(19.0, 125944.0)	(20.0, 182286.0)	(21.0, 240298.0)	(22.0, 305092.0)	(23.0, 376648.0)	(24.0, 442893.0)	(25.0, 525878.0)	(26.0, 614227.0)	(27.0, 696614.0)	(28.0, 819445.0)	(29.0, 925169.0)	(30.0, 1086754.0)	(31.0, 1277380.0)	(32.0, 1581899.0)	(33.0, 2234862.0)	(34.0, 3238485.0)	(35.0, 4654378.0)	(36.0, 6577820.0)	(37.0, 12301492.0)	(38.0, 28913449.0)	(39.0, 357497563.0)	(40.0, 319632128.0)							
