GENE	SAMPLE	Observed_synonymous	Estimated_synonymous
CDKN1A	P19_0019_BDO_01	0.0	0.2570362307008426
CDKN1A	P19_0019_BTR_01	0.0	0.2902091733019891
CDKN1A	P19_0020_BDO_01	0.0	0.2509892917318382
CDKN1A	P19_0020_BTR_01	0.0	0.2143583899016842
CDKN1A	P19_0023_BDO_01	0.0	0.8397448663610464
CDKN1A	P19_0023_BTR_01	2.0	1.1537874243752453
CDKN1A	P19_0024_BDO_01	0.0	0.4689541559359397
CDKN1A	P19_0024_BTR_01	0.0	0.2626087531500911
CDKN1A	P19_0025_BDO_01	0.0	0.116758735419912
CDKN1A	P19_0025_BTR_01	0.0	0.2278425616089399
CDKN1A	P19_0026_BDO_01	0.0	0.6705339215621543
CDKN1A	P19_0026_BTR_01	0.0	0.315154920634778
CDKN1A	P19_0027_BTR_01	0.0	0.2735755409730513
CDKN1A	P19_0028_BDO_01	1.0	0.7334819497235131
CDKN1A	P19_0028_BTR_01	0.0	0.5190869290112945
CDKN1A	P19_0029_BDO_01	0.0	0.3355182082564487
CDKN1A	P19_0029_BTR_01	0.0	0.4561046864824435
CDKN1A	P19_0030_BTR_01	0.0	0.176328762493596
CDKN1A	P19_0031_BTR_01	1.0	1.0813064264747752
CDKN1A	P19_0033_BDO_01	0.0	0.1697131918254615
CDKN1A	P19_0033_BTR_01	0.0	0.4949141274794755
CDKN1A	P19_0034_BDO_01	2.0	0.3772620439263202
CDKN1A	P19_0034_BTR_01	1.0	0.3928086251034189
CDKN1A	P19_0035_BDO_01	0.0	0.7030445187740689
CDKN1A	P19_0036_BTR_01	0.0	0.0889103205625675
CDKN1A	P19_0038_BDO_01	1.0	0.8455236722863445
CDKN1A	P19_0039_BTR_01	0.0	0.4214157806340949
CDKN1A	P19_0040_BDO_01	0.0	0.5359936453775158
CDKN1A	P19_0040_BTR_01	0.0	0.2269115990920577
CDKN1A	P19_0041_BDO_01	0.0	0.238766799175127
CDKN1A	P19_0041_BTR_01	2.0	0.2969058149515197
CDKN1A	P19_0042_BDO_01	3.0	2.345812873917565
CDKN1A	P19_0042_BTR_01	2.0	0.8866391559527832
CDKN1A	P19_0043_BTR_01	1.0	0.5945583688004974
CDKN1A	P19_0045_BDO_01	0.0	0.1422945989503715
CDKN1A	P19_0045_BTR_01	0.0	0.0881834571942968
CDKN1A	P19_0046_BDO_01	1.0	0.9142708741729736
CDKN1A	P19_0046_BTR_01	0.0	0.4547364615417372
CDKN1A	P19_0047_BDO_01	0.0	0.4607935110800558
CDKN1A	P19_0047_BTR_01	0.0	0.1743084501607835
CDKN1A	P19_0048_BTR_01	1.0	0.9743650233053208
CDKN1A	P19_0050_BDO_01	3.0	0.2504161361125119
CDKN1A	P19_0050_BTR_01	0.0	0.4780623463744878
CDKN1A	P19_0051_BDO_01	0.0	0.2006231238651895
CDKN1A	P19_0051_BTR_01	0.0	0.254398392099227
CDKN1A	P19_0052_BDO_01	0.0	0.070877281654717
CDKN1A	P19_0052_BTR_01	0.0	0.0997440533579814
CDKN1A	P19_0053_BDO_01	2.0	0.3438089601528402
CDKN1A	P19_0053_BTR_01	0.0	0.2515010355955122
CDKN1A	SexF	10.0	13.857645805261072
CDKN1A	SexM	31.0	27.1736345068013
CDKN1A	all_samples	41.0	41.0
CREBBP	BladderlocationDome	137.0	139.25614369993588
CREBBP	BladderlocationDome_SexF	47.0	46.994933632444685
CREBBP	BladderlocationDome_SexM	90.0	92.55198233717124
CREBBP	BladderlocationTrigone	152.0	149.7064052156423
CREBBP	BladderlocationTrigone_SexF	59.0	48.30202878604636
CREBBP	BladderlocationTrigone_SexM	93.0	101.16040311826718
CREBBP	HistoryofsmokingNo	63.0	60.67529395002224
CREBBP	HistoryofsmokingUnknown	26.0	14.220762609360374
CREBBP	HistoryofsmokingYes	200.0	213.89202524388543
CREBBP	P19_0001_BDO_01	0.0	0.6766473639962154
CREBBP	P19_0001_BTR_01	1.0	1.022792235192797
CREBBP	P19_0002_BDO_01	5.0	6.916465691968087
CREBBP	P19_0002_BTR_01	14.0	9.64028808106398
CREBBP	P19_0003_BDO_01	4.0	4.02996238431076
CREBBP	P19_0004_BDO_01	2.0	4.507249360182289
CREBBP	P19_0004_BTR_01	4.0	4.695449119251207
CREBBP	P19_0005_BDO_01	3.0	3.571455831912272
CREBBP	P19_0005_BTR_01	5.0	3.190638907799831
CREBBP	P19_0006_BDO_01	1.0	1.5024946748870345
CREBBP	P19_0007_BDO_01	1.0	1.2897561553667347
CREBBP	P19_0007_BTR_01	3.0	1.807388332904862
CREBBP	P19_0008_BDO_01	4.0	7.498931864566232
CREBBP	P19_0008_BTR_01	10.0	14.059627748214355
CREBBP	P19_0009_BDO_01	2.0	2.6725178647883654
CREBBP	P19_0009_BTR_01	8.0	6.172798909232447
CREBBP	P19_0011_BDO_01	5.0	2.9536134635115
CREBBP	P19_0011_BTR_01	4.0	3.5426925054975347
CREBBP	P19_0012_BDO_01	6.0	5.179736221341189
CREBBP	P19_0012_BTR_01	14.0	9.676707049592808
CREBBP	P19_0013_BDO_01	2.0	2.50171591913021
CREBBP	P19_0013_BTR_01	1.0	1.2767539616215122
CREBBP	P19_0014_BDO_01	4.0	4.703391556028548
CREBBP	P19_0014_BTR_01	3.0	3.8582031297721526
CREBBP	P19_0015_BDO_01	6.0	3.906322895723955
CREBBP	P19_0015_BTR_01	7.0	4.374807955770309
CREBBP	P19_0016_BDO_01	1.0	2.908757338382601
CREBBP	P19_0016_BTR_01	4.0	3.0731637604391517
CREBBP	P19_0018_BDO_01	5.0	3.994816335747773
CREBBP	P19_0018_BTR_01	4.0	3.822589593174981
CREBBP	P19_0019_BDO_01	1.0	2.926293148855235
CREBBP	P19_0019_BTR_01	2.0	2.936290622813344
CREBBP	P19_0020_BDO_01	3.0	3.0031136704214085
CREBBP	P19_0020_BTR_01	4.0	2.281357441137073
CREBBP	P19_0023_BDO_01	4.0	7.816033514041021
CREBBP	P19_0023_BTR_01	5.0	9.747857088021457
CREBBP	P19_0024_BDO_01	7.0	3.840066565739863
CREBBP	P19_0024_BTR_01	3.0	2.6629530199394438
CREBBP	P19_0025_BDO_01	2.0	1.2646258572442246
CREBBP	P19_0025_BTR_01	2.0	2.6306518833699144
CREBBP	P19_0026_BDO_01	4.0	3.553381393014178
CREBBP	P19_0026_BTR_01	0.0	2.8505923543385223
CREBBP	P19_0027_BTR_01	2.0	2.67499006423266
CREBBP	P19_0028_BDO_01	6.0	5.888782237772404
CREBBP	P19_0028_BTR_01	1.0	4.3902178880220095
CREBBP	P19_0029_BDO_01	3.0	2.3768697877709
CREBBP	P19_0029_BTR_01	2.0	3.1972248240062857
CREBBP	P19_0030_BTR_01	2.0	1.3322381234923515
CREBBP	P19_0031_BTR_01	8.0	2.0706165596561013
CREBBP	P19_0033_BDO_01	3.0	1.1843083912120036
CREBBP	P19_0033_BTR_01	0.0	0.8423407075600502
CREBBP	P19_0034_BDO_01	4.0	2.934066733444451
CREBBP	P19_0034_BTR_01	2.0	3.362740045081928
CREBBP	P19_0035_BDO_01	7.0	7.056900315883397
CREBBP	P19_0036_BTR_01	0.0	0.4388488441924419
CREBBP	P19_0038_BDO_01	11.0	6.542632045689033
CREBBP	P19_0039_BTR_01	7.0	4.678416002111732
CREBBP	P19_0040_BDO_01	2.0	3.763371282946789
CREBBP	P19_0040_BTR_01	2.0	1.8979652954273176
CREBBP	P19_0041_BDO_01	1.0	2.050898028898782
CREBBP	P19_0041_BTR_01	3.0	2.293568346753023
CREBBP	P19_0042_BDO_01	3.0	3.840277171757104
CREBBP	P19_0042_BTR_01	3.0	3.2120002402920824
CREBBP	P19_0043_BTR_01	2.0	2.261568080002881
CREBBP	P19_0045_BDO_01	2.0	1.509871838995564
CREBBP	P19_0045_BTR_01	0.0	0.8552940744608422
CREBBP	P19_0046_BDO_01	10.0	5.571862975185846
CREBBP	P19_0046_BTR_01	1.0	1.4964319716786565
CREBBP	P19_0047_BDO_01	4.0	2.632467175711004
CREBBP	P19_0047_BTR_01	2.0	1.4528563210535588
CREBBP	P19_0048_BTR_01	4.0	7.139560726249031
CREBBP	P19_0050_BDO_01	3.0	5.470026990570149
CREBBP	P19_0050_BTR_01	4.0	5.823831649559183
CREBBP	P19_0051_BDO_01	2.0	2.86332307444867
CREBBP	P19_0051_BTR_01	4.0	3.315362526333698
CREBBP	P19_0052_BDO_01	0.0	0.6514145638394584
CREBBP	P19_0052_BTR_01	0.0	1.051782170221364
CREBBP	P19_0053_BDO_01	4.0	4.159187450993319
CREBBP	P19_0053_BTR_01	5.0	3.4626384934861902
CREBBP	SexF	106.0	95.62055031024396
CREBBP	SexM	183.0	193.69060225883024
CREBBP	all_samples	289.0	289.0
EP300	BladderlocationDome	124.0	118.31600552307296
EP300	BladderlocationDome_SexF	36.0	39.00249570389398
EP300	BladderlocationDome_SexM	88.0	79.69924201663304
EP300	BladderlocationTrigone	117.0	122.52079661936048
EP300	BladderlocationTrigone_SexF	37.0	39.25558098867091
EP300	BladderlocationTrigone_SexM	80.0	83.07624310094383
EP300	HistoryofsmokingNo	53.0	50.79306215327284
EP300	HistoryofsmokingUnknown	10.0	11.03461787394352
EP300	HistoryofsmokingYes	178.0	179.7636887602139
EP300	P19_0001_BDO_01	1.0	0.6466253149372485
EP300	P19_0001_BTR_01	1.0	0.96951595492695
EP300	P19_0002_BDO_01	5.0	5.367358796811261
EP300	P19_0002_BTR_01	13.0	8.41584823210374
EP300	P19_0003_BDO_01	3.0	3.879215843021354
EP300	P19_0004_BDO_01	3.0	3.167356495425028
EP300	P19_0004_BTR_01	0.0	3.1759476112763143
EP300	P19_0005_BDO_01	3.0	3.174290836496179
EP300	P19_0005_BTR_01	2.0	2.964401694223978
EP300	P19_0006_BDO_01	1.0	1.404987045439387
EP300	P19_0007_BDO_01	0.0	1.3367231693915524
EP300	P19_0007_BTR_01	3.0	1.4983958732331792
EP300	P19_0008_BDO_01	2.0	6.38246128580562
EP300	P19_0008_BTR_01	9.0	9.55001301409635
EP300	P19_0009_BDO_01	2.0	2.186564818201993
EP300	P19_0009_BTR_01	5.0	3.8456771461861177
EP300	P19_0011_BDO_01	4.0	2.4639132781190973
EP300	P19_0011_BTR_01	2.0	2.8669393905782075
EP300	P19_0012_BDO_01	6.0	4.771861274718031
EP300	P19_0012_BTR_01	5.0	7.798023010669132
EP300	P19_0013_BDO_01	4.0	2.00774506645782
EP300	P19_0013_BTR_01	2.0	1.1676773655594344
EP300	P19_0014_BDO_01	7.0	4.424519673135268
EP300	P19_0014_BTR_01	4.0	3.395518350165092
EP300	P19_0015_BDO_01	5.0	3.4384384803366883
EP300	P19_0015_BTR_01	4.0	3.173441997216035
EP300	P19_0016_BDO_01	6.0	2.3191716389849897
EP300	P19_0016_BTR_01	4.0	2.5801806754758734
